match_number,url,newspaper_title,publication_date,page_number,location,snippet,screenshot_path
1,https://newscomwc.newspapers.com/image/52918017/?match=1&terms=%22certificate%20of%20need%22&pqsid=56p_GZb4J3kSVjS18QJY7w%3A19135%3A1329001197,,,,,"The Daily Times-News • Page 11 Tuesday, April 4, 1961Burlington, North Carolina1 of 2 matches on this page.Previous Next",C:\Users\shakyas\Desktop\ShakyaThinkGround\CONLAW\newspapers_screenshots\certificate_of_need_nc_0001.png
2,https://newscomwc.newspapers.com/image/52719099/?match=1&terms=%22certificate%20of%20need%22&pqsid=56p_GZb4J3kSVjS18QJY7w%3A19135%3A1329001197,,,,,"The Daily Times-News • Page 15 Friday, January 5, 1962Burlington, North Carolina1 of 1 matches on this page.",C:\Users\shakyas\Desktop\ShakyaThinkGround\CONLAW\newspapers_screenshots\certificate_of_need_nc_0002.png
3,https://newscomwc.newspapers.com/image/42015067/?match=1&terms=%22certificate%20of%20need%22&pqsid=56p_GZb4J3kSVjS18QJY7w%3A19135%3A1329001197,,,,,"The Robesonian • Page 8 Friday, February 28, 1964Lumberton, North Carolina1 of 2 matches on this page.Previous Next",C:\Users\shakyas\Desktop\ShakyaThinkGround\CONLAW\newspapers_screenshots\certificate_of_need_nc_0003.png
4,https://newscomwc.newspapers.com/image/52947862/?match=1&terms=%22certificate%20of%20need%22&pqsid=56p_GZb4J3kSVjS18QJY7w%3A19135%3A1329001197,,,,,"The Daily Times-News • Page 4 Friday, March 13, 1964Burlington, North Carolina1 of 2 matches on this page.Previous Next",C:\Users\shakyas\Desktop\ShakyaThinkGround\CONLAW\newspapers_screenshots\certificate_of_need_nc_0004.png
5,https://newscomwc.newspapers.com/image/340715968/?match=1&terms=%22certificate%20of%20need%22&pqsid=56p_GZb4J3kSVjS18QJY7w%3A19135%3A1329001197,,,,,"Rocky Mount Telegram • Page 27 Sunday, December 12, 1965Rocky Mount, North Carolina1 of 2 matches on this page.Previous Next",C:\Users\shakyas\Desktop\ShakyaThinkGround\CONLAW\newspapers_screenshots\certificate_of_need_nc_0005.png
6,https://newscomwc.newspapers.com/image/45143851/?match=1&terms=%22certificate%20of%20need%22&pqsid=56p_GZb4J3kSVjS18QJY7w%3A19135%3A1329001197,,,,,"Independent Tribune • Page 12 Tuesday, August 16, 1966Concord, North Carolina1 of 2 matches on this page.Previous Next",C:\Users\shakyas\Desktop\ShakyaThinkGround\CONLAW\newspapers_screenshots\certificate_of_need_nc_0006.png
7,https://newscomwc.newspapers.com/image/340717761/?match=1&terms=%22certificate%20of%20need%22&pqsid=56p_GZb4J3kSVjS18QJY7w%3A19135%3A1329001197,,,,,"Rocky Mount Telegram • Page 10 Saturday, August 27, 1966Rocky Mount, North Carolina1 of 2 matches on this page.Previous Next",C:\Users\shakyas\Desktop\ShakyaThinkGround\CONLAW\newspapers_screenshots\certificate_of_need_nc_0007.png
8,https://newscomwc.newspapers.com/image/52797975/?match=1&terms=%22certificate%20of%20need%22&pqsid=56p_GZb4J3kSVjS18QJY7w%3A19135%3A1329001197,,,,,"The Daily Times-News • Page 8 Tuesday, October 4, 1966Burlington, North Carolina1 of 2 matches on this page.Previous Next",C:\Users\shakyas\Desktop\ShakyaThinkGround\CONLAW\newspapers_screenshots\certificate_of_need_nc_0008.png
9,https://newscomwc.newspapers.com/image/52799857/?match=1&terms=%22certificate%20of%20need%22&pqsid=56p_GZb4J3kSVjS18QJY7w%3A19135%3A1329001197,,,,,"The Daily Times-News • Page 5 Tuesday, October 18, 1966Burlington, North Carolina1 of 2 matches on this page.Previous Next",C:\Users\shakyas\Desktop\ShakyaThinkGround\CONLAW\newspapers_screenshots\certificate_of_need_nc_0009.png
10,https://newscomwc.newspapers.com/image/52800790/?match=1&terms=%22certificate%20of%20need%22&pqsid=56p_GZb4J3kSVjS18QJY7w%3A19135%3A1329001197,,,,,"The Daily Times-News • Page 7 Tuesday, November 1, 1966Burlington, North Carolina1 of 2 matches on this page.Previous Next",C:\Users\shakyas\Desktop\ShakyaThinkGround\CONLAW\newspapers_screenshots\certificate_of_need_nc_0010.png
11,https://newscomwc.newspapers.com/image/340936648/?match=1&terms=%22certificate%20of%20need%22&pqsid=1G5w5jPookppD464ShWQFw%3A12564%3A1788838422,,,,,"The Nashville Graphic • Page 13 Thursday, August 24, 1967Nashville, North Carolina1 of 2 matches on this page.Previous Next",C:\Users\shakyas\Desktop\ShakyaThinkGround\CONLAW\newspapers_screenshots\certificate_of_need_nc_0011.png
12,https://newscomwc.newspapers.com/image/53045053/?match=1&terms=%22certificate%20of%20need%22&pqsid=1G5w5jPookppD464ShWQFw%3A12564%3A1788838422,,,,,"The Daily Times-News • Page 18 Saturday, September 21, 1968Burlington, North Carolina1 of 2 matches on this page.Previous Next",C:\Users\shakyas\Desktop\ShakyaThinkGround\CONLAW\newspapers_screenshots\certificate_of_need_nc_0012.png
13,https://newscomwc.newspapers.com/image/53045678/?match=1&terms=%22certificate%20of%20need%22&pqsid=1G5w5jPookppD464ShWQFw%3A12564%3A1788838422,,,,,"The Daily Times-News • Page 22 Tuesday, October 1, 1968Burlington, North Carolina1 of 2 matches on this page.Previous Next",C:\Users\shakyas\Desktop\ShakyaThinkGround\CONLAW\newspapers_screenshots\certificate_of_need_nc_0013.png
14,https://newscomwc.newspapers.com/image/53068294/?match=1&terms=%22certificate%20of%20need%22&pqsid=1G5w5jPookppD464ShWQFw%3A12564%3A1788838422,,,,,"The Daily Times-News • Page 6 Monday, July 21, 1969Burlington, North Carolina1 of 2 matches on this page.Previous Next",C:\Users\shakyas\Desktop\ShakyaThinkGround\CONLAW\newspapers_screenshots\certificate_of_need_nc_0014.png
15,https://newscomwc.newspapers.com/image/53070558/?match=1&terms=%22certificate%20of%20need%22&pqsid=1G5w5jPookppD464ShWQFw%3A12564%3A1788838422,,,,,"The Daily Times-News • Page 9 Monday, September 15, 1969Burlington, North Carolina1 of 2 matches on this page.Previous Next",C:\Users\shakyas\Desktop\ShakyaThinkGround\CONLAW\newspapers_screenshots\certificate_of_need_nc_0015.png
16,https://newscomwc.newspapers.com/image/3965214/?match=1&terms=%22certificate%20of%20need%22&pqsid=1G5w5jPookppD464ShWQFw%3A12564%3A1788838422,,,,,"The Gaston Gazette • Page 2 Monday, June 8, 1970Gastonia, North Carolina1 of 2 matches on this page.Previous Next",C:\Users\shakyas\Desktop\ShakyaThinkGround\CONLAW\newspapers_screenshots\certificate_of_need_nc_0016.png
17,https://newscomwc.newspapers.com/image/4314282/?match=1&terms=%22certificate%20of%20need%22&pqsid=1G5w5jPookppD464ShWQFw%3A12564%3A1788838422,,,,,"The Gaston Gazette • Page 16 Friday, August 21, 1970Gastonia, North Carolina1 of 4 matches on this page.Previous Next",C:\Users\shakyas\Desktop\ShakyaThinkGround\CONLAW\newspapers_screenshots\certificate_of_need_nc_0017.png
18,https://newscomwc.newspapers.com/image/340810050/?match=1&terms=%22certificate%20of%20need%22&pqsid=1G5w5jPookppD464ShWQFw%3A12564%3A1788838422,,,,,"Rocky Mount Telegram • Page 5 Wednesday, May 19, 1971Rocky Mount, North Carolina1 of 2 matches on this page.Previous Next",C:\Users\shakyas\Desktop\ShakyaThinkGround\CONLAW\newspapers_screenshots\certificate_of_need_nc_0018.png
19,https://newscomwc.newspapers.com/image/53641278/?match=1&terms=%22certificate%20of%20need%22&pqsid=1G5w5jPookppD464ShWQFw%3A12564%3A1788838422,,,,,"The Daily Times-News • Page 39 Saturday, October 2, 1971Burlington, North Carolina1 of 3 matches on this page.Previous Next",C:\Users\shakyas\Desktop\ShakyaThinkGround\CONLAW\newspapers_screenshots\certificate_of_need_nc_0019.png
